stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,220.0,0.9,250.0,0.15,0.025,31.84685648255902,0.8074653067725294,0.007063035467189484,-0.009095693286988393,0.5959436175441127,0.88
MCD,220.0,1.0,250.0,0.15,0.025,32.175798438748274,0.7942040258279924,0.0069584511416192095,-0.008921616322989177,0.6523547945268008,0.88
MCD,230.0,0.1,250.0,0.15,0.025,20.020066002185757,0.9593195818793085,0.006993783030085062,-0.009090281905851252,0.06556671590704745,0.92
MCD,230.0,0.2,250.0,0.15,0.025,20.518837588515936,0.8919849655063302,0.010679867316968975,-0.01639431163997418,0.20024751219316822,0.92
MCD,230.0,0.30000000000000004,250.0,0.15,0.025,21.147836867506925,0.8439441719448226,0.011251942498889542,-0.01762639758150833,0.31646088278126844,0.92
MCD,230.0,0.4,250.0,0.15,0.025,21.78801628398969,0.8092065912897113,0.011054778782916238,-0.017330473334098765,0.41455420435935897,0.92
MCD,230.0,0.5,250.0,0.15,0.025,22.408112216997097,0.7827870254544058,0.010654199581147565,-0.016615309737908035,0.4994156053662922,0.92
MCD,230.0,0.6,250.0,0.15,0.025,22.99985821651768,0.76183177776448,0.010213460460864174,-0.01580562328769635,0.5745071509236097,0.92
MCD,230.0,0.7000000000000001,250.0,0.15,0.025,23.562093067152745,0.7446594227641185,0.00978479875135744,-0.015007864334931495,0.6421274180578321,0.92
MCD,230.0,0.8,250.0,0.15,0.025,24.096012876182613,0.730222807467416,0.009384569411597835,-0.014257059179922753,0.7038427058698375,0.92
MCD,230.0,0.9,250.0,0.15,0.025,24.60354584278386,0.7178358438243232,0.009016414738374608,-0.013562468195297443,0.7607599935503576,0.92
MCD,230.0,1.0,250.0,0.15,0.025,25.086753296702028,0.7070293664178676,0.008679347571063667,-0.01292368352588429,0.8136888347872189,0.92
MCD,240.0,0.1,250.0,0.15,0.025,11.129826730327409,0.8068611138321138,0.02290884703482187,-0.040757836012225865,0.2147704409514551,0.96
MCD,240.0,0.2,250.0,0.15,0.025,12.498174754347133,0.7310623737733782,0.01944368316390218,-0.03426725551319193,0.36456905932316586,0.96
MCD,240.0,0.30000000000000004,250.0,0.15,0.025,13.653290304212362,0.6931425006291823,0.01684279060916655,-0.02932354305534112,0.4737034858828094,0.96
MCD,240.0,0.4,250.0,0.15,0.025,14.656093018239034,0.6693133797629042,0.015004569352686807,-0.025809107509697265,0.5626713507257554,0.96
MCD,240.0,0.5,250.0,0.15,0.025,15.548048520421048,0.6524788867541695,0.01363598349787945,-0.023181483063274944,0.6391867264630993,0.96
MCD,240.0,0.6,250.0,0.15,0.025,16.355268817684703,0.6397001304947638,0.012569943463385752,-0.021127427282797137,0.7070593198154485,0.96
MCD,240.0,0.7000000000000001,250.0,0.15,0.025,17.09509646481743,0.6295146676764514,0.011710237942889737,-0.019465659697814885,0.7684843650021389,0.96
MCD,240.0,0.8,250.0,0.15,0.025,17.77966859660077,0.6211031985688065,0.01099811432834762,-0.01808514182733259,0.8248585746260715,0.96
MCD,240.0,0.9,250.0,0.15,0.025,18.417851005524767,0.6139668596785829,0.01039566433808534,-0.01691407093974666,0.8771341785259505,0.96
MCD,240.0,1.0,250.0,0.15,0.025,19.016346997480582,0.6077824906003396,0.009877272591680046,-0.01590384174746574,0.9259943054700043,0.96
MCD,250.0,0.1,250.0,0.15,0.025,4.6577012674514435,0.5039948106691836,0.033554854711606005,-0.06265783474085608,0.3145767629213064,1.0
MCD,250.0,0.2,250.0,0.15,0.025,6.535479042392538,0.5049025855645863,0.023665567837810472,-0.043501409789470966,0.4437293969589463,1.0
MCD,250.0,0.30000000000000004,250.0,0.15,0.025,7.951819657225499,0.5052997844539452,0.01927293535038114,-0.03496060697130081,0.5420513067294697,1.0
MCD,250.0,0.4,250.0,0.15,0.025,9.12778401290754,0.5054321578770007,0.016647731427051487,-0.02983860351244157,0.6242899285144308,1.0
MCD,250.0,0.5,250.0,0.15,0.025,10.149217124075804,0.505395160825775,0.014851715423383012,-0.026322970174116292,0.6961741604710788,1.0
MCD,250.0,0.6,250.0,0.15,0.025,11.060254040642107,0.505237878988762,0.013522673448639359,-0.0237133625726733,0.760650381485964,1.0
MCD,250.0,0.7000000000000001,250.0,0.15,0.025,11.887176929335567,0.5049895477348949,0.01248721905822281,-0.021674234046733104,0.8194737506958719,1.0
MCD,250.0,0.8,250.0,0.15,0.025,12.647151710996766,0.5046692646707086,0.011650547143471808,-0.02002194889094601,0.8737910357603854,1.0
MCD,250.0,0.9,250.0,0.15,0.025,13.352130877579953,0.5042903289009979,0.010955863809321382,-0.018646400581510274,0.9244010089114917,1.0
MCD,250.0,1.0,250.0,0.15,0.025,14.010838173206011,0.5038624478941882,0.010366793417859961,-0.01747700492767378,0.9718868829243713,1.0
