scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Normal,100,120,1.0,0.15,1.1541763731112695,0.15693285892045994,0.016016145647482136,-0.005733146782795712,0.240242184712232,1.2
Rising_50pct,150,80,0.1,0.3,70.15984010663571,0.9999999999891893,5.194791914085634e-12,-0.004374803296149536,3.506484542007803e-11,0.5333333333333333
Rising_50pct,150,80,0.25,0.3,70.39904394733921,0.9999914237102943,1.719628079917536e-06,-0.004366395933191823,2.9018723848608422e-05,0.5333333333333333
Rising_50pct,150,80,0.5,0.3,70.80448804618051,0.9990849295181495,9.753478953678046e-05,-0.00460251781379953,0.003291799146866341,0.5333333333333333
Rising_50pct,150,80,1.0,0.3,71.75955283033393,0.9896119536536261,0.0006122684311199807,-0.005900182440721041,0.04132811910059869,0.5333333333333333
Rising_50pct,150,90,0.1,0.3,60.17982018176244,0.9999999752491227,9.785065596846274e-09,-0.004921680628742564,6.604919277871233e-08,0.6
Rising_50pct,150,90,0.25,0.3,60.45016818932305,0.9997791585317075,3.6948673846149065e-05,-0.00500751957281613,0.0006235088711537655,0.6
Rising_50pct,150,90,0.5,0.3,60.95167450151189,0.9947853596907545,0.00047175168389445297,-0.0061451264903703,0.015921619331437792,0.6
Rising_50pct,150,90,1.0,0.3,62.30946164678899,0.9725343197951584,0.0014050460737836728,-0.008476775003166204,0.09484060998039792,0.6
Rising_50pct,150,100,0.1,0.3,50.199821657343534,0.9999929562681356,2.2537084623360088e-06,-0.005474696754727812,1.5212532120768062e-05,0.6666666666666666
Rising_50pct,150,100,0.25,0.3,50.515945625585715,0.9975339399978005,0.00034069102973711165,-0.0063759796577822275,0.005749161126813759,0.6666666666666666
Rising_50pct,150,100,0.5,0.3,51.23906459238515,0.9805189679397935,0.0014880513529013446,-0.009379253717217232,0.05022173316042039,0.6666666666666666
Rising_50pct,150,100,1.0,0.3,53.251181838782045,0.9415847539932162,0.0025921870340319935,-0.012011835608661373,0.17497262479715958,0.6666666666666666
Rising_50pct,150,110,0.1,0.3,40.221385377785296,0.9995778321871072,0.00010676470944161861,-0.006307959061137684,0.0007206617887309257,0.7333333333333333
